"574","Jordan Schakel","Was","G","24.8","2","3.1","14","0","0","0","1","0","1","1","0.75","0.75","1.5","0","0.5","0.5","0","0","1.5","2","2","0","",""
"575","Isaiah Todd","Was","F","21.5","6","10.2","14.8","9.8","2","1","8","0.25","10","0.1","0.194","0.238","1.5","2","0.7","0.2","0","0.3","3.5","2.2","4.2","5","64.8","112.2"
"576","Thanasis Antetokounmpo","Mil","F","30.7","37","5.6","13.8","20.6","22","0.5","38","0.526","8","0","0.435","0.458","1.4","1.2","0.4","0.1","0.1","0.3","2.6","1.8","3","6.3","97.9","104.6"
"577","PJ Dozier","Sac","G-F","26.5","16","5","20.5","13.2","0","0","17","0.471","16","0.125","0.333","0.333","1.4","0.9","0.6","0.4","0.1","0.3","2.3","2","2.9","7.3","75.6","106.4"
"578","Wendell Moore Jr.","Min","G","21.6","29","5.3","14.9","15.6","5","0.8","26","0.615","17","0.118","0.442","0.465","1.4","0.6","0.6","0.3","0.2","0.3","2.1","2.1","2.7","6","98","109.3"
"579","Facundo Campazzo","Dal","G","32","8","6.5","14.6","18.5","2","0.5","2","0","11","0.273","0.346","0.36","1.3","0.3","1.1","0.8","0","0.4","1.5","2.4","2.6","4.6","86.4","110.9"
"580","Braxton Key","Det","F","26.2","3","3","8.8","0","2","1","1","1","0","0","1","1.064","1.3","0.3","0","0","0","0","1.7","1.3","1.7","0","",""
"581","Tyrese Martin","Atl","G","24.1","16","4.1","16.6","7.9","2","1","16","0.5","7","0.143","0.413","0.44","1.3","0.8","0.1","0.1","0","0.1","2.1","1.4","2.2","4.6","98.8","118.4"
"582","KZ Okpala","Sac","F-G","24","35","7.1","8.4","15.4","8","0.875","17","0.529","21","0.333","0.513","0.554","1.3","1","0.4","0.2","0.2","0.2","2.3","1.7","2.7","4.5","113.2","103.3"
"583","Cole Swider","Lal","F","23.9","7","5.8","9.3","0","0","0","1","0","8","0.375","0.5","0.5","1.3","1","0.6","0","0","0","2.3","1.9","2.9","6.3","124.6","110.3"
"584","Vit Krejci","Atl","G","22.8","29","5.7","10.9","11.8","2","0.5","16","0.625","21","0.238","0.473","0.475","1.2","0.9","0.6","0.2","0","0.2","2.2","1.8","2.8","6.1","109.1","109.3"
"585","Jack White","Den","F","25.7","17","3.9","14.7","9.4","3","0.667","10","0.5","9","0.333","0.5","0.517","1.2","1","0.2","0.2","0.1","0.1","2.2","1.5","2.5","6.4","",""
"586","Kessler Edwards","Bro","F","22.7","14","5.7","16.1","14.2","2","0.5","12","0.333","12","0.167","0.292","0.301","1.1","1","0.1","0.2","0.1","0.3","2.1","1.2","2.2","3.4","71.9","115.4"
"587","Noah Vonleh","Bos","F","27.6","23","7.5","9.1","31","2","1","20","0.5","4","0.25","0.479","0.502","1.1","2.1","0.3","0.1","0.3","0.5","3.2","1.4","3.5","4.7","102.8","92.7"
"588","Malcolm Hill","Chi","F","27.5","5","1.8","19.4","0","0","0","1","1","3","0.333","0.625","0.625","1","0.6","0","0","0","0","1.6","1","1.6","0","",""
"589","Trevor Keels","Nyk","G","19.6","3","2.7","21.4","0","0","0","0","0","4","0.25","0.375","0.375","1","0.7","0","0","0","0","1.7","1","1.7","0","",""
"590","Chima Moneke","Sac","F","27.3","2","4","26.5","50","2","0","2","0.5","0","0","0.5","0.347","1","1","0.5","0","0","1","2","1.5","2.5","7.9","73.1","97.6"
"591","Davon Reed","Lal","G","27.8","8","3.4","9","0","4","0.25","2","1","2","0.5","0.875","0.694","1","0.5","0.5","0.3","0","0","1.5","1.5","2","7.4","",""
"592","Joe Wieskamp","Tor","G-F","23.6","9","5.5","12.9","6.7","0","0","2","0","12","0.25","0.321","0.321","1","0.4","0.3","0","0","0.1","1.4","1.3","1.8","3.6","76.8","115.2"
"593","Nerlens Noel","Bro","C-F","29","3","14.4","12.2","44.6","2","0.5","6","0.167","0","0","0.167","0.218","1","3","1","1","0.3","1.7","4","2","5","4","57.1","98.2"
"594","Kobi Simmons","Cha","G","25.8","5","5.6","11.9","13.4","2","1","1","0","5","0.2","0.25","0.363","1","0.8","1","0","0.4","0.2","1.8","2","2.8","6.6","100.9","121.8"
"595","Justin Jackson","Bos","F","28","23","4.7","12.2","6.8","2","0.5","7","0.286","20","0.25","0.352","0.359","0.9","0.7","0.4","0.2","0.2","0.1","1.6","1.3","2","5.4","89.7","107.2"
"596","Marko Simonovic","Chi","C","23.5","7","2.8","17.8","0","2","0.5","3","0.333","4","0.25","0.357","0.381","0.9","0.3","0","0","0","0","1.1","0.9","1.1","0","",""
"597","Dereon Seabron","Nor","G","22.9","5","2.3","18.5","0","0","0","5","0.4","0","0","0.4","0.4","0.8","0.2","0","0","0","0","1","0.8","1","0","",""
"598","Vernon Carey Jr.","Was","F-C","22.1","11","2.6","16.6","19.2","2","1","8","0.25","0","0","0.25","0.338","0.5","1","0.3","0.2","0.2","0.2","1.5","0.8","1.8","8.2","",""
"599","Devon Dotson","Was","G","23.7","6","8.9","9.8","25","0","0","6","0","3","0.333","0.167","0.167","0.5","1.7","1.3","0.8","0","0.5","2.2","1.8","3.5","4.6","86.3","98.6"
"600","Leandro Bolmaro","Uta","F","22.6","14","4.9","15.9","26.9","0","0","15","0.2","4","0","0.158","0.158","0.4","0.5","0.5","0.1","0.1","0.5","0.9","0.9","1.4","3.8","51","107.1"
"601","Ryan Arcidiacono","Nyk","G","29","11","2.4","9.8","16.7","0","0","2","0","3","0.333","0.3","0.3","0.3","0.4","0.2","0.2","0","0.1","0.6","0.5","0.8","4.8","",""
"602","Sterling Brown","Lal","G-F","28.2","4","6.1","6.9","0","0","0","2","0","2","0","0","0","0","2","0.5","0.8","0","0","2","0.5","2.5","0","77.2","92.5"
"603","Deonte Burton","Sac","G-F","29.2","2","3.3","13.2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"604","Julian Champagnie","Phi","F","21.8","2","3.4","13.3","0","0","0","1","0","1","0","0","0","0","0","0","0.5","0","0","0","0","0","0","",""
"605","Michael Foster Jr.","Phi","F","20.2","1","1","0","","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"606","Frank Jackson","Uta","G","24.9","1","5.1","24.6","0","0","0","2","0","1","0","0","0","0","2","1","0","0","0","2","1","3","0","48","120.2"
"607","Alondes Williams","Bro","G","23.8","1","5.3","16.7","100","0","0","0","0","0","0","","","0","1","0","0","0","2","1","0","1","0","","97.7"
"608","Jamaree Bouyea","Was","G","23.8","1","5.5","7.9","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","99.9"
"609","Moses Brown","Bro","C","23.5","2","3.2","6.9","100","0","0","0","0","0","0","","","0","0","0","0.5","0","0.5","0","0","0","0","",""
